Operator,Station,Code,Cubic Name,NLC,Gated
Greater Anglia,Ingatestone,AGA,TOC6882,6882,1
Greater Anglia,Ipswich,AGA,TOC7217,7217,1
Greater Anglia,Kelvedon,AGA,TOC6838,6838,1
Greater Anglia,Kirby Cross,AGA,TOC6862,6862,1
Greater Anglia,Liverpool St  ,AGA,TOC3686,6965,1
Greater Anglia,Liverpool St GER,AGA,TOC6965,6965,1
Greater Anglia,Manningtree,AGA,TOC6856,6856,1
Greater Anglia,Marks Tey,AGA,TOC6863,6863,1
Greater Anglia,Mistley,AGA,TOC6906,6906,1
Greater Anglia,Newport,AGA,TOC7039,7039,1
Greater Anglia,North Fambridge,AGA,TOC6875,6875,1
Greater Anglia,Norwich,AGA,TOC7309,7309,1
Greater Anglia,Prittlewell,AGA,TOC7419,7419,1
Greater Anglia,Rayleigh,AGA,TOC6884,6884,1
Greater Anglia,Rochford,AGA,TOC6885,6885,1
Greater Anglia,Roydon,AGA,TOC6829,6829,1
Greater Anglia,Sawbridgeworth,AGA,TOC6806,6806,1
Greater Anglia,Shelford,AGA,TOC7043,7043,1
Greater Anglia,Shenfield,AGA,TOC6888,6888,1
Greater Anglia,South Woodham,AGA,TOC6892,6892,1
Greater Anglia,Southend Victoria,AGA,TOC7420,7420,1
Greater Anglia,Southminster,AGA,TOC6890,6890,1
Greater Anglia,Stanstead Mountfichet,AGA,TOC6833,6833,1
Greater Anglia,Stowmarket,AGA,TOC7355,7355,1
Greater Anglia,Sudbury,AGA,TOC7098,7098,1
Greater Anglia,Thorpe-le-Soken,AGA,TOC6857,6857,1
Greater Anglia,Tottenham Hale,AGA,TOC6951,6951,1
Greater Anglia,Walton on Naze,AGA,TOC6858,6858,1
Greater Anglia,Weeley,AGA,TOC6859,6859,1
Greater Anglia,White Notley,AGA,TOC6846,6846,1
Greater Anglia,Whittlesford Parkway,AGA,TOC7047,7047,1
Greater Anglia,Wickford,AGA,TOC6891,6891,1
Greater Anglia,Witham,AGA,TOC6844,6844,1
Greater Anglia,Wivenhoe,AGA,TOC6860,6860,1
Greater Anglia,Wrabness,AGA,TOC6907,6907,1
GTR,Aldrington,GTR,TOC5280,5280,1
GTR,Alexandra Palace,GTR,TOC6025,6025,1
GTR,Amberley,GTR,TOC5250,5250,1
GTR,Angmering,GTR,TOC5267,5267,1
GTR,Appledore,GTR,TOC5003,5003,1
GTR,Arlesey,GTR,TOC6171,6171,1
GTR,Arundel,GTR,TOC5251,5251,1
GTR,Ashtead,GTR,TOC5347,5347,1
GTR,Ashurst,GTR,TOC5398,5398,1
GTR,Ashwell & Morden,GTR,TOC6083,6083,1
GTR,Balcombe,GTR,TOC5492,5492,1
GTR,Baldock,GTR,TOC6084,6084,1
GTR,Balham,GTR,TOC5399,5399,1
GTR,Barnham,GTR,TOC5252,5252,1
GTR,Battersea Park,GTR,TOC5420,5420,1
GTR,Bayford,GTR,TOC6006,6006,1
GTR,Bedford,GTR,TOC1512,1512,1
GTR,Berwick,GTR,TOC5323,5323,1
GTR,Bexhill,GTR,TOC5211,5211,1
GTR,Biggleswade,GTR,TOC6170,6170,1
GTR,Billingshurst,GTR,TOC5464,5464,1
GTR,Bishopstone,GTR,TOC5402,5402,1
GTR,Blackfriars,GTR,TOC5112,5112,1
GTR,Bognor Regis,GTR,TOC5253,5253,1
GTR,Bosham,GTR,TOC5254,5254,1
